"","EHELV_gene_ID","merged_gene_name"
"1","EHELV_G00013284",NA
"2","EHELV_G00004941",NA
"3","EHELV_G00032328",NA
"4","EHELV_G00005960",NA
"5","EHELV_G00034989",NA
"6","EHELV_G00002037",NA
"7","EHELV_G00035132",NA
"8","EHELV_G00032670",NA
"9","EHELV_G00008950",NA
"10","EHELV_G00032796",NA
"11","EHELV_G00024925",NA
"12","EHELV_G00033156",NA
"13","EHELV_G00008965","interferon alpha-inducible protein 27-like protein 2"
"14","EHELV_G00008966",NA
"15","EHELV_G00007426",NA
"16","EHELV_G00008052",NA
"17","EHELV_G00012044",NA
"18","EHELV_G00012053",NA
"19","EHELV_G00012069",NA
"20","EHELV_G00012305",NA
"21","EHELV_G00010016",NA
"22","EHELV_G00020848",NA
"23","EHELV_G00031985","TCEAL1"
"24","EHELV_G00022034",NA
"25","EHELV_G00019645",NA
"26","EHELV_G00028087",NA
"27","EHELV_G00014343",NA
"28","EHELV_G00024060",NA
"29","EHELV_G00003488",NA
"30","EHELV_G00029445",NA
"31","EHELV_G00010835","SYTL3"
"32","EHELV_G00013426","Uncharacterized protein KIAA1143 homolog"
"33","EHELV_G00001960","UPF0696 protein C11orf68 homolog"
"34","EHELV_G00017926","AACS"
"35","EHELV_G00017065","AATF"
"36","EHELV_G00024005","Abcb7"
"37","EHELV_G00011342","ABCF3"
"38","EHELV_G00017070","ACACA"
"39","EHELV_G00020232","ACAP3"
"40","EHELV_G00006382","ACY1"
"41","EHELV_G00020869","ADAM15"
"42","EHELV_G00028284","ADCY1"
"43","EHELV_G00033486","ADGRG2"
"44","EHELV_G00009064","ADO"
"45","EHELV_G00013843","AGL"
"46","EHELV_G00022957","AHCTF1"
"47","EHELV_G00014626","AIDA"
"48","EHELV_G00012885","ALDOA"
"49","EHELV_G00035039","ALG13"
"50","EHELV_G00025686","ALPK1"
"51","EHELV_G00015538","ANKMY2"
"52","EHELV_G00008408","ANP32A"
"53","EHELV_G00011341","AP2M1"
"54","EHELV_G00016517","APC"
"55","EHELV_G00003497","APEH"
"56","EHELV_G00017097","APLP2"
"57","EHELV_G00027619","Arcn1"
"58","EHELV_G00017713","Arf5"
"59","EHELV_G00014228","ARHGAP11A"
"60","EHELV_G00003806","Arhgap27"
"61","EHELV_G00033957","ARHGEF11"
"62","EHELV_G00009001","ARHGEF3"
"63","EHELV_G00004979","Arl5b"
"64","EHELV_G00004309","Arl5c"
"65","EHELV_G00005804","ARPC2"
"66","EHELV_G00008087","ARRDC1"
"67","EHELV_G00030098","ASB6"
"68","EHELV_G00005618","ascc3"
"69","EHELV_G00020448","ASH1L"
"70","EHELV_G00025122","ASRGL1"
"71","EHELV_G00024861","ATF1"
"72","EHELV_G00000539","ATIC"
"73","EHELV_G00005461","ATN1"
"74","EHELV_G00004547","ATP6V1G1"
"75","EHELV_G00017507","ATP9B"
"76","EHELV_G00032599","ATRX"
"77","EHELV_G00008136","AUTS2"
"78","EHELV_G00001965","BANF1"
"79","EHELV_G00010735","BCL10"
"80","EHELV_G00011842","BIRC6"
"81","EHELV_G00016420","BMP2K"
"82","EHELV_G00016419","BMP2K"
"83","EHELV_G00029102","BRD3"
"84","EHELV_G00005076","C17orf75"
"85","EHELV_G00003645","C19orf57"
"86","EHELV_G00014475","C1orf131"
"87","EHELV_G00014834","Camkk2"
"88","EHELV_G00011370","CASP14"
"89","EHELV_G00001615","CASP3"
"90","EHELV_G00007482","CCDC69"
"91","EHELV_G00011758","CCDC88B"
"92","EHELV_G00033281","CCDC93"
"93","EHELV_G00029512","CCNE2"
"94","EHELV_G00031557","CCT6A"
"95","EHELV_G00020130","CD69"
"96","EHELV_G00029637","CD79A"
"97","EHELV_G00003942","CD96"
"98","EHELV_G00027728","CD99"
"99","EHELV_G00009314","CDC16"
"100","EHELV_G00006872","CDC37"
"101","EHELV_G00020264","Cdc40"
"102","EHELV_G00021766","CDCA7L"
"103","EHELV_G00001058","CDK5RAP2"
"104","EHELV_G00008394","CELA1"
"105","EHELV_G00013745","CENPE"
"106","EHELV_G00004011","CEP120"
"107","EHELV_G00028700","CEP70"
"108","EHELV_G00017452","CFLAR"
"109","EHELV_G00013006","CHAC2"
"110","EHELV_G00012303","CHRNB2"
"111","EHELV_G00015616","CIITA"
"112","EHELV_G00032431","CISD2"
"113","EHELV_G00013774","CLIP1"
"114","EHELV_G00000711","CLSPN"
"115","EHELV_G00024833","Cluap1"
"116","EHELV_G00002966","CNDP1"
"117","EHELV_G00002170","COL2A1"
"118","EHELV_G00029938","COMMD5"
"119","EHELV_G00029374","COMTD1"
"120","EHELV_G00002773","COTL1"
"121","EHELV_G00021330","COX18"
"122","EHELV_G00019133","CPSF4"
"123","EHELV_G00032456","CRIP2"
"124","EHELV_G00007978","CTBP2"
"125","EHELV_G00006714","CTR9"
"126","EHELV_G00007360","CTSC"
"127","EHELV_G00007735","Cul1"
"128","EHELV_G00011367","CX3CR1"
"129","EHELV_G00029274","Cxcr5"
"130","EHELV_G00031757","CXorf21"
"131","EHELV_G00020451","DAP3"
"132","EHELV_G00020453","DAP3"
"133","EHELV_G00000306","DAPK1"
"134","EHELV_G00017733","Dcaf10"
"135","EHELV_G00017509","DDHD2"
"136","EHELV_G00008964","DDX24"
"137","EHELV_G00001716","DDX60"
"138","EHELV_G00010075","DENND5B"
"139","EHELV_G00023944","Dgkq"
"140","EHELV_G00017057","DHRS11"
"141","EHELV_G00000023","DHRS3"
"142","EHELV_G00004035","DICER1"
"143","EHELV_G00029484","DLAT"
"144","EHELV_G00019607","DLK2"
"145","EHELV_G00022097","Dnaja1"
"146","EHELV_G00023267","Dnaja2"
"147","EHELV_G00028868","DNAJB6"
"148","EHELV_G00003623","DNASE2"
"149","EHELV_G00012888","DOC2A"
"150","EHELV_G00006385","Dusp7"
"151","EHELV_G00027799","ECD"
"152","EHELV_G00022246","EID3"
"153","EHELV_G00007393","EIF2AK2"
"154","EHELV_G00011339","EIF2B5"
"155","EHELV_G00029253","EIF5B"
"156","EHELV_G00017261","ELF1"
"157","EHELV_G00031634","ELK1"
"158","EHELV_G00014710","EMC9"
"159","EHELV_G00007317","EML2"
"160","EHELV_G00015926","EPAS1"
"161","EHELV_G00018835","EPHA1"
"162","EHELV_G00007200","Ephb6"
"163","EHELV_G00010581","ERBIN"
"164","EHELV_G00001364","ERN1"
"165","EHELV_G00027754","ESYT3"
"166","EHELV_G00008706","EVL"
"167","EHELV_G00026631","EVL"
"168","EHELV_G00005358","Exosc1"
"169","EHELV_G00007736","EZH2"
"170","EHELV_G00026146","FAAP20"
"171","EHELV_G00017455","FAM126B"
"172","EHELV_G00029956","FAM20C"
"173","EHELV_G00020681","FAM76A"
"174","EHELV_G00027396","FARP2"
"175","EHELV_G00018718","FARS2"
"176","EHELV_G00003627","FARSA"
"177","EHELV_G00000078","FBXO34"
"178","EHELV_G00023998","FCMR"
"179","EHELV_G00006875","FDX2"
"180","EHELV_G00008632","FHOD1"
"181","EHELV_G00020864","FLAD1"
"182","EHELV_G00029845","FNBP1"
"183","EHELV_G00008673","FZD1"
"184","EHELV_G00027563","G2E3"
"185","EHELV_G00005257","GDAP2"
"186","EHELV_G00034248","GIMAP8"
"187","EHELV_G00025098","GLUD1"
"188","EHELV_G00009176","GNE"
"189","EHELV_G00000580","GNL2"
"190","EHELV_G00014474","GNPAT"
"191","EHELV_G00020455","GON4L"
"192","EHELV_G00003374","Gpat4"
"193","EHELV_G00016430","GPR15"
"194","EHELV_G00002885","Grin2d"
"195","EHELV_G00001496","HACE1"
"196","EHELV_G00022749","HDAC8"
"197","EHELV_G00007391","HEATR5B"
"198","EHELV_G00026298","HERC3"
"199","EHELV_G00026297","HERC3"
"200","EHELV_G00029066","Hprt1"
"201","EHELV_G00032025","HSFY1"
"202","EHELV_G00017835","HTT"
"203","EHELV_G00006877","ICAM5"
"204","EHELV_G00008967","IFI27L1"
"205","EHELV_G00020682","IFI6"
"206","EHELV_G00007792","IFIT1"
"207","EHELV_G00024120","IFIT2"
"208","EHELV_G00032465","IFIT3"
"209","EHELV_G00007793","IFIT5"
"210","EHELV_G00034364","IGLV1-40"
"211","EHELV_G00012299","IL6R"
"212","EHELV_G00030136","ILF2"
"213","EHELV_G00012938","IMPA1"
"214","EHELV_G00020602","IPO5"
"215","EHELV_G00029260","Ipo9"
"216","EHELV_G00000192","Iqcb1"
"217","EHELV_G00023090","IQGAP2"
"218","EHELV_G00020305","IRF5"
"219","EHELV_G00025593","IRF7"
"220","EHELV_G00019814","IRGQ"
"221","EHELV_G00024057","Isg15"
"222","EHELV_G00013912","JAGN1"
"223","EHELV_G00016943","KBP"
"224","EHELV_G00014538","KCNK6"
"225","EHELV_G00003858","KCTD17"
"226","EHELV_G00014275","KDM5A"
"227","EHELV_G00000716","KIAA0319L"
"228","EHELV_G00001972","KLC2"
"229","EHELV_G00019017","KLHL2"
"230","EHELV_G00026443","LANCL1"
"231","EHELV_G00004600","LARP1"
"232","EHELV_G00033873","Lgals7"
"233","EHELV_G00013016","Lmo4"
"234","EHELV_G00005466","LPCAT3"
"235","EHELV_G00021419","LRCH3"
"236","EHELV_G00023981","LRRC8C"
"237","EHELV_G00026641","LYST"
"238","EHELV_G00013134","MALSU1"
"239","EHELV_G00022027","MAML1"
"240","EHELV_G00028290","MAP3K7CL"
"241","EHELV_G00017489","MAP4"
"242","EHELV_G00011967","MARCH9"
"243","EHELV_G00002110","MBD5"
"244","EHELV_G00018879","Mbnl2"
