"","EHELV_gene_ID","merged_gene_name"
"245","EHELV_G00020483","MCOLN2"
"246","EHELV_G00013526","MCRIP2"
"247","EHELV_G00004346","Med15"
"248","EHELV_G00019575","METAP1D"
"249","EHELV_G00002256","METAP2"
"250","EHELV_G00003173","METTL14"
"251","EHELV_G00002600","METTL23"
"252","EHELV_G00018992","MGAT5"
"253","EHELV_G00005706","MIA2"
"254","EHELV_G00003015","MIB1"
"255","EHELV_G00030762","MIDN"
"256","EHELV_G00005356","MMS19"
"257","EHELV_G00016702","MMTAG2"
"258","EHELV_G00005351","MORN4"
"259","EHELV_G00022023","MRNIP"
"260","EHELV_G00033258","MRPL2"
"261","EHELV_G00008092","Mrpl41"
"262","EHELV_G00010785","MRPL42"
"263","EHELV_G00022137","MRPL54"
"264","EHELV_G00001729","MRPS18A"
"265","EHELV_G00012032","MRPS23"
"266","EHELV_G00019016","MSMO1"
"267","EHELV_G00002490","Mtfr1l"
"268","EHELV_G00027443","MTPN"
"269","EHELV_G00014729","MYD88"
"270","EHELV_G00010593","MYLIP"
"271","EHELV_G00033467","MYO5C"
"272","EHELV_G00024681","NARS2"
"273","EHELV_G00020939","nbas"
"274","EHELV_G00013065","Ncam1"
"275","EHELV_G00000147","NCOA1"
"276","EHELV_G00003291","NCOA7"
"277","EHELV_G00014207","Ncor2"
"278","EHELV_G00024504","NEK3"
"279","EHELV_G00017102","NFRKB"
"280","EHELV_G00027133","NGDN"
"281","EHELV_G00011136","NKIRAS1"
"282","EHELV_G00024627","NOL10"
"283","EHELV_G00020640","NPAS2"
"284","EHELV_G00022539","NPEPL1"
"285","EHELV_G00017784","NUCKS1"
"286","EHELV_G00018366","NUP62"
"287","EHELV_G00025977","NUP98"
"288","EHELV_G00007313","OPA3"
"289","EHELV_G00016797","OTOA"
"290","EHELV_G00005482","OXR1"
"291","EHELV_G00014727","OXSR1"
"292","EHELV_G00014831","P2RX7"
"293","EHELV_G00021789","PAF1"
"294","EHELV_G00026481","PARP15"
"295","EHELV_G00018964","PARP6"
"296","EHELV_G00020860","PBXIP1"
"297","EHELV_G00019439","PCID2"
"298","EHELV_G00019128","PDAP1"
"299","EHELV_G00015473","Pdcd7"
"300","EHELV_G00007027","PDE4B"
"301","EHELV_G00007743","PDIA4"
"302","EHELV_G00016497","PDLIM2"
"303","EHELV_G00000535","Pecr"
"304","EHELV_G00012141","PELP1"
"305","EHELV_G00033068","PGBD1"
"306","EHELV_G00005464","PHB2"
"307","EHELV_G00034227","PHF8"
"308","EHELV_G00022048","PHKA2"
"309","EHELV_G00023262","Phkb"
"310","EHELV_G00027620","PHLDB1"
"311","EHELV_G00019809","PHLDB3"
"312","EHELV_G00015120","Piezo1"
"313","EHELV_G00013102","PIGS"
"314","EHELV_G00022913","PIK3C2B"
"315","EHELV_G00018967","PKM"
"316","EHELV_G00002521","PLAGL2"
"317","EHELV_G00001321","PLCG2"
"318","EHELV_G00002866","PLEKHA4"
"319","EHELV_G00008001","PLOD3"
"320","EHELV_G00012664","PMS2"
"321","EHELV_G00001725","POLH"
"322","EHELV_G00020078","POLR3A"
"323","EHELV_G00030091","POP1"
"324","EHELV_G00025779","PPFIA1"
"325","EHELV_G00001486","PRDM1"
"326","EHELV_G00001616","PRIMPOL"
"327","EHELV_G00002074","PRPF8"
"328","EHELV_G00019849","Prpsap2"
"329","EHELV_G00016880","Prr14"
"330","EHELV_G00014711","PSME1"
"331","EHELV_G00031762","PSPH"
"332","EHELV_G00008551","PTCH2"
"333","EHELV_G00011415","PUM2"
"334","EHELV_G00018612","PWP1"
"335","EHELV_G00025856","RABL6"
"336","EHELV_G00031032","RALA"
"337","EHELV_G00025222","Raly"
"338","EHELV_G00021981","Rars"
"339","EHELV_G00028174","RASA1"
"340","EHELV_G00026256","Rbbp7"
"341","EHELV_G00029293","RBM12B"
"342","EHELV_G00020319","RBM28"
"343","EHELV_G00025439","Rcc1l"
"344","EHELV_G00003801","RDM1"
"345","EHELV_G00021612","RETREG3"
"346","EHELV_G00012219","RHBDD3"
"347","EHELV_G00019012","RINT1"
"348","EHELV_G00012417","RIOK2"
"349","EHELV_G00009686","RMI2"
"350","EHELV_G00026606","RNF4"
"351","EHELV_G00017573","Rnf44"
"352","EHELV_G00008745","RNFT1"
"353","EHELV_G00016556","RPUSD2"
"354","EHELV_G00014176","RSAD2"
"355","EHELV_G00006657","RSBN1"
"356","EHELV_G00001728","RSPH9"
"357","EHELV_G00018116","RTP4"
"358","EHELV_G00032279","RUFY2"
"359","EHELV_G00014422","SAE1"
"360","EHELV_G00009953","SAMD9"
"361","EHELV_G00027572","SAT1"
"362","EHELV_G00018897","SCD"
"363","EHELV_G00032293","SCO1"
"364","EHELV_G00004444","SDCBP"
"365","EHELV_G00027008","SELENOM"
"366","EHELV_G00001569","Sem1"
"367","EHELV_G00022081","SEPTIN11"
"368","EHELV_G00027398","SEPTIN2"
"369","EHELV_G00015976","SERAC1"
"370","EHELV_G00004906","SERINC5"
"371","EHELV_G00000810","SETD4"
"372","EHELV_G00001435","SIGLEC1"
"373","EHELV_G00003144","SIN3B"
"374","EHELV_G00014548","SIPA1L3"
"375","EHELV_G00021983","Slc39a10"
"376","EHELV_G00017785","SLC45A3"
"377","EHELV_G00014821","Slc66a3"
"378","EHELV_G00033355","Slc6a3"
"379","EHELV_G00023469","SLC7A6"
"380","EHELV_G00023470","SLC7A6OS"
"381","EHELV_G00008631","SLC9A5"
"382","EHELV_G00000007","SMAD7"
"383","EHELV_G00017492","SMARCC1"
"384","EHELV_G00031883","SMCHD1"
"385","EHELV_G00004348","SMPD4"
"386","EHELV_G00016693","SNAP47"
"387","EHELV_G00010207","SNRK"
"388","EHELV_G00000952","SP4"
"389","EHELV_G00012429","Spag9"
"390","EHELV_G00011847","Spast"
"391","EHELV_G00013265","SPATS2"
"392","EHELV_G00002875","SPHK2"
"393","EHELV_G00020930","SPTY2D1"
"394","EHELV_G00031373","STT3A"
"395","EHELV_G00009414","SUGP1"
"396","EHELV_G00004039","SYNE3"
"397","EHELV_G00011736","SYTL1"
"398","EHELV_G00028526","TAF3"
"399","EHELV_G00033925","TALDO1"
"400","EHELV_G00029268","TANGO6"
"401","EHELV_G00014899","TATDN1"
"402","EHELV_G00022021","TBC1D9B"
"403","EHELV_G00005755","TCEA3"
"404","EHELV_G00029679","TCF19"
"405","EHELV_G00004900","TENT2"
"406","EHELV_G00018198","Tent4a"
"407","EHELV_G00024884","TEX9"
"408","EHELV_G00018413","TFAM"
"409","EHELV_G00004305","TFCP2L1"
"410","EHELV_G00009520","Tgfbi"
"411","EHELV_G00009091","TGFBR2"
"412","EHELV_G00025332","THOP1"
"413","EHELV_G00013928","THUMPD3"
"414","EHELV_G00023475","THYN1"
"415","EHELV_G00025739","TMEM106A"
"416","EHELV_G00004450","TMEM126B"
"417","EHELV_G00014425","TMEM160"
"418","EHELV_G00029809","TMEM164"
"419","EHELV_G00027775","TMEM170B"
"420","EHELV_G00007479","TNIP1"
"421","EHELV_G00004267","TOP2A"
"422","EHELV_G00024894","TP53INP1"
"423","EHELV_G00008252","TRANK1"
"424","EHELV_G00015125","TRAPPC2L"
"425","EHELV_G00022794","TREML4"
"426","EHELV_G00020479","TRERF1"
"427","EHELV_G00034752","TRIM22"
"428","EHELV_G00011761","TRMT112"
"429","EHELV_G00016894","Trp53i11"
"430","EHELV_G00025543","TSPOAP1"
"431","EHELV_G00002935","TTC16"
"432","EHELV_G00014858","TTC7A"
"433","EHELV_G00014859","TTC7A"
"434","EHELV_G00008166","TTLL1"
"435","EHELV_G00013915","Ttll3"
"436","EHELV_G00012632","TUT4"
"437","EHELV_G00007829","TWISTNB"
"438","EHELV_G00029469","TXNRD3"
"439","EHELV_G00003258","TYW5"
"440","EHELV_G00034959","UBA7"
"441","EHELV_G00003508","UBA7"
"442","EHELV_G00012178","Ube2g1"
"443","EHELV_G00027184","UBE2V2"
"444","EHELV_G00009010","UBR4"
"445","EHELV_G00005033","UCHL5"
"446","EHELV_G00025626","UCKL1"
"447","EHELV_G00013103","UNC119"
"448","EHELV_G00024997","UQCC3"
"449","EHELV_G00019305","USP18"
"450","EHELV_G00027985","USP27X"
"451","EHELV_G00018776","USP3"
"452","EHELV_G00012432","UTP18"
"453","EHELV_G00007311","VASP"
"454","EHELV_G00026789","Vav2"
"455","EHELV_G00022941","WDFY4"
"456","EHELV_G00021921","WDR60"
"457","EHELV_G00000826","WWOX"
"458","EHELV_G00015574","WWP2"
"459","EHELV_G00012225","XBP1"
"460","EHELV_G00003424","XPC"
"461","EHELV_G00000587","YRDC"
"462","EHELV_G00025135","ZBTB40"
"463","EHELV_G00006689","ZBTB49"
"464","EHELV_G00016486","ZC3H15"
"465","EHELV_G00014424","Zc3h4"
"466","EHELV_G00020530","Zdhhc23"
"467","EHELV_G00025806","ZDHHC7"
"468","EHELV_G00004910","ZFYVE16"
"469","EHELV_G00000725","ZMYM1"
"470","EHELV_G00013420","ZNF197"
"471","EHELV_G00026050","ZNF22"
"472","EHELV_G00019609","ZNF318"
"473","EHELV_G00019610","ZNF318"
"474","EHELV_G00033410","ZNF33B"
"475","EHELV_G00026385","ZNF346"
"476","EHELV_G00025656","Znf367"
"477","EHELV_G00008131","ZNF438"
"478","EHELV_G00013425","ZNF502"
"479","EHELV_G00029495","ZNF551"
"480","EHELV_G00006294","Znf598"
"481","EHELV_G00016730","ZNF654"
"482","EHELV_G00024261","ZNF692"
"483","EHELV_G00010335","Znf703"
"484","EHELV_G00004341","ZNF74"
"485","EHELV_G00019343","ZNF84"
"486","EHELV_G00013870","ZNFX1"
"487","EHELV_G00012382","ZRANB2"
"488","EHELV_G00023396","ZW10"
"489","EHELV_G00008577","ZZZ3"
