"","EHELV_gene_ID","merged_gene_name"
"1","EHELV_G00006144","Bombesin receptor-activated protein C6orf89 homolog"
"2","EHELV_G00035030","Ig heavy chain V region MC101"
"3","EHELV_G00013284",NA
"4","EHELV_G00032328",NA
"5","EHELV_G00001923","CDC42EP2"
"6","EHELV_G00019275",NA
"7","EHELV_G00027490",NA
"8","EHELV_G00008966",NA
"9","EHELV_G00012046",NA
"10","EHELV_G00033169",NA
"11","EHELV_G00012946",NA
"12","EHELV_G00020779",NA
"13","EHELV_G00000498",NA
"14","EHELV_G00006268","PDPK1"
"15","EHELV_G00008416",NA
"16","EHELV_G00010814",NA
"17","EHELV_G00022103","SMIM27"
"18","EHELV_G00035155",NA
"19","EHELV_G00019150",NA
"20","EHELV_G00014553","ABHD11"
"21","EHELV_G00000264","Ablim1"
"22","EHELV_G00002099","ABR"
"23","EHELV_G00009613","Acot6"
"24","EHELV_G00003672","ADGRE3"
"25","EHELV_G00013522","AGA"
"26","EHELV_G00001853","AKAP2"
"27","EHELV_G00015224","ALKBH4"
"28","EHELV_G00021938","ANKRD12"
"29","EHELV_G00010298","ANTXR2"
"30","EHELV_G00015833","ANXA5"
"31","EHELV_G00022136","APBA3"
"32","EHELV_G00026920","APBB1IP"
"33","EHELV_G00024294","AR"
"34","EHELV_G00003052","Arhgef7"
"35","EHELV_G00034127","ARMCX3"
"36","EHELV_G00004188","ARPIN"
"37","EHELV_G00003656","ASF1B"
"38","EHELV_G00025122","ASRGL1"
"39","EHELV_G00029831","Atad1"
"40","EHELV_G00004523","ATF7IP"
"41","EHELV_G00002448","ATP5MC1"
"42","EHELV_G00021817","ATP5MPL"
"43","EHELV_G00024830","ATXN3"
"44","EHELV_G00001285","AZIN2"
"45","EHELV_G00000854","BAG3"
"46","EHELV_G00014877","BFAR"
"47","EHELV_G00022487","BIRC5"
"48","EHELV_G00003122","Bst2"
"49","EHELV_G00009450","BTBD1"
"50","EHELV_G00022502","C14orf28"
"51","EHELV_G00032800","C1orf112"
"52","EHELV_G00000040","C1orf167"
"53","EHELV_G00005742","C1qa"
"54","EHELV_G00003259","C2orf69"
"55","EHELV_G00009353","CALHM6"
"56","EHELV_G00019409","CAMK2D"
"57","EHELV_G00034641","CAMK4"
"58","EHELV_G00019634","CAMSAP2"
"59","EHELV_G00001919","CAPN1"
"60","EHELV_G00008301","CBY1"
"61","EHELV_G00018631","CCDC167"
"62","EHELV_G00016875","CCDC189"
"63","EHELV_G00017702","CCL8"
"64","EHELV_G00005794","CCN6"
"65","EHELV_G00013789","CCPG1"
"66","EHELV_G00021315","CCR1"
"67","EHELV_G00003658","CD97"
"68","EHELV_G00001430","CDC25B"
"69","EHELV_G00000884","Cdc42"
"70","EHELV_G00025086","CDC42BPG"
"71","EHELV_G00006082","CDC7"
"72","EHELV_G00010458","CEP85"
"73","EHELV_G00033349","CERK"
"74","EHELV_G00019954","CFI"
"75","EHELV_G00017452","CFLAR"
"76","EHELV_G00011513","CGA"
"77","EHELV_G00030712","CGAS"
"78","EHELV_G00021877","CHAF1A"
"79","EHELV_G00029138","Chchd7"
"80","EHELV_G00010993","CHPF2"
"81","EHELV_G00015770","Chsy1"
"82","EHELV_G00024019","Cic"
"83","EHELV_G00010455","CNKSR1"
"84","EHELV_G00002170","COL2A1"
"85","EHELV_G00003062","COL4A2"
"86","EHELV_G00003115","COLGALT1"
"87","EHELV_G00024659","Copg1"
"88","EHELV_G00011889","CS"
"89","EHELV_G00010813","CSF2RA"
"90","EHELV_G00011510","Csnk1a1"
"91","EHELV_G00008289","Csnk1e"
"92","EHELV_G00030284","Cyhr1"
"93","EHELV_G00004829","DCAF4"
"94","EHELV_G00025796","DDX18"
"95","EHELV_G00003661","Ddx39a"
"96","EHELV_G00022105","DDX58"
"97","EHELV_G00006826","DHX36"
"98","EHELV_G00016342","DHX58"
"99","EHELV_G00022097","Dnaja1"
"100","EHELV_G00029319","DNAJB14"
"101","EHELV_G00014557","DNAJC30"
"102","EHELV_G00016057","DNTTIP2"
"103","EHELV_G00001924","DPF2"
"104","EHELV_G00028880","DRG1"
"105","EHELV_G00021850","EEF2"
"106","EHELV_G00007393","EIF2AK2"
"107","EHELV_G00009495","EMSY"
"108","EHELV_G00015927","EPAS1"
"109","EHELV_G00005977","EPHX2"
"110","EHELV_G00005735","EPRS"
"111","EHELV_G00015736","EPSTI1"
"112","EHELV_G00024020","Erf"
"113","EHELV_G00003207","EURL"
"114","EHELV_G00029592","FAM136A"
"115","EHELV_G00013515","FAM204A"
"116","EHELV_G00008375","FANCE"
"117","EHELV_G00026674","FANCL"
"118","EHELV_G00016783","FBXO21"
"119","EHELV_G00007507","FBXO24"
"120","EHELV_G00009640","FCF1"
"121","EHELV_G00021724","FDX1"
"122","EHELV_G00026795","FGD4"
"123","EHELV_G00028028","FLT3LG"
"124","EHELV_G00004618","FNIP1"
"125","EHELV_G00007167","FTL"
"126","EHELV_G00005130","FUBP3"
"127","EHELV_G00007609","GARS"
"128","EHELV_G00033286","GBP1"
"129","EHELV_G00016056","GCLM"
"130","EHELV_G00024970","GEMIN8"
"131","EHELV_G00017056","GGNBP2"
"132","EHELV_G00000112","GLS"
"133","EHELV_G00005123","Gpr107"
"134","EHELV_G00005121","GPR107"
"135","EHELV_G00026121","Gripap1"
"136","EHELV_G00002167","HDAC7"
"137","EHELV_G00009452","HDGFL3"
"138","EHELV_G00030703","HLA-A"
"139","EHELV_G00005127","HMCN2"
"140","EHELV_G00031419","HPS5"
"141","EHELV_G00029014","HSD17B10"
"142","EHELV_G00032688","HSD17B11"
"143","EHELV_G00003163","HSH2D"
"144","EHELV_G00001433","HSPA12B"
"145","EHELV_G00033456","Ids"
"146","EHELV_G00008967","IFI27L1"
"147","EHELV_G00020682","IFI6"
"148","EHELV_G00018798","IFIH1"
"149","EHELV_G00018797","IFIH1"
"150","EHELV_G00007792","IFIT1"
"151","EHELV_G00024120","IFIT2"
"152","EHELV_G00032465","IFIT3"
"153","EHELV_G00007793","IFIT5"
"154","EHELV_G00011653","IL15RA"
"155","EHELV_G00011892","IL23A"
"156","EHELV_G00003861","IL2RB"
"157","EHELV_G00019642","IL2RG"
"158","EHELV_G00019641","IL2RG"
"159","EHELV_G00000189","ILDR1"
"160","EHELV_G00027193","IRAK3"
"161","EHELV_G00025593","IRF7"
"162","EHELV_G00024057","Isg15"
"163","EHELV_G00004934","ITGA4"
"164","EHELV_G00009059","JMJD1C"
"165","EHELV_G00010968","KCTD3"
"166","EHELV_G00005749","KDM1A"
"167","EHELV_G00031020","KDM6A"
"168","EHELV_G00004701","KIAA0556"
"169","EHELV_G00019631","KIF14"
"170","EHELV_G00027271","KLB"
"171","EHELV_G00018523","Klf6"
"172","EHELV_G00009970","Krit1"
"173","EHELV_G00013249","L3HYPDH"
"174","EHELV_G00007510","LACC1"
"175","EHELV_G00012840","LACTB"
"176","EHELV_G00029318","LAMTOR3"
"177","EHELV_G00006849","LDLR"
"178","EHELV_G00014091","Lmnb1"
"179","EHELV_G00027493","Lpcat1"
"180","EHELV_G00015222","LRWD1"
"181","EHELV_G00033923","LST1"
"182","EHELV_G00009638","LTBP2"
"183","EHELV_G00008417","LY96"
"184","EHELV_G00006655","MAGI3"
"185","EHELV_G00016171","MAMLD1"
"186","EHELV_G00003113","MAP1S"
"187","EHELV_G00001823","MAP3K12"
"188","EHELV_G00011182","MAPK8"
"189","EHELV_G00000852","MCMBP"
"190","EHELV_G00019076","MCTP2"
"191","EHELV_G00025084","MEN1"
"192","EHELV_G00004950","MPHOSPH8"
"193","EHELV_G00012032","MRPS23"
"194","EHELV_G00006142","MTCH1"
"195","EHELV_G00026974","MX1"
"196","EHELV_G00004437","MX2"
"197","EHELV_G00029533","MYADM"
"198","EHELV_G00000119","NAB1"
"199","EHELV_G00011999","NAB2"
"200","EHELV_G00011195","NADK2"
"201","EHELV_G00002948","NAIF1"
"202","EHELV_G00022327","NCBP2"
"203","EHELV_G00006746","NDEL1"
"204","EHELV_G00014976","NECAP1"
"205","EHELV_G00014644","NEIL1"
"206","EHELV_G00004145","NFE2L1"
"207","EHELV_G00031765","NIPSNAP2"
"208","EHELV_G00031764","Nipsnap2"
"209","EHELV_G00011153","NMI"
"210","EHELV_G00007612","NOD1"
"211","EHELV_G00016386","NOM1"
