"","EHELV_gene_ID","merged_gene_name"
"161","EHELV_G00025413","TPST1"
"162","EHELV_G00030080","TRIM27"
"163","EHELV_G00002958","TRUB2"
"164","EHELV_G00017632","TSTA3"
"165","EHELV_G00009702","TXLNB"
"166","EHELV_G00034959","UBA7"
"167","EHELV_G00003508","UBA7"
"168","EHELV_G00008197","UBALD1"
"169","EHELV_G00011924","Ube2b"
"170","EHELV_G00023690","Ulk3"
"171","EHELV_G00019305","USP18"
"172","EHELV_G00006035","VAMP3"
"173","EHELV_G00033872","VBP1"
"174","EHELV_G00003604","WDR83"
"175","EHELV_G00007187","WEE2"
"176","EHELV_G00016236","Wiz"
"177","EHELV_G00017414","WRAP53"
"178","EHELV_G00031407","WRNIP1"
"179","EHELV_G00021461","ZBP1"
"180","EHELV_G00012636","ZFYVE9"
"181","EHELV_G00014801","ZNF131"
"182","EHELV_G00029822","ZNF274"
"183","EHELV_G00029603","ZNF322"
"184","EHELV_G00020368","ZNF354A"
"185","EHELV_G00005445","ZNF384"
"186","EHELV_G00029495","ZNF551"
"187","EHELV_G00030972","ZNF596"
"188","EHELV_G00001295","ZSCAN20"
